r_B,batch_size,individual_mean_ms,individual_sd_ms,batch_mean_ms,batch_sd_ms,reduction_pct,individual_throughput,batch_throughput,individual_acceptance_pct,batch_acceptance_pct
1,1,1.07175,0.03505732989419397,1.1215033333333333,0.05285030573319282,-4.642251768913769,933.0534173081409,891.6603012028498,100.0,100.0
1,2,2.1170366666666665,0.05227451731885757,1.3824466666666666,0.06034594368754401,34.69897388015638,944.7167503003413,1446.7104216196406,100.0,100.0
1,5,5.271016666666666,0.127281095606734,2.22445,0.05472659789573418,57.79846392694641,948.5836065781112,2247.7466339994153,100.0,100.0
1,10,10.519446666666667,0.08779505026238509,3.6159266666666667,0.0693487534797519,65.62626551333182,950.6203431485941,2765.54281152457,100.0,100.0
1,25,29.870313333333332,3.541747042383163,8.905913333333332,0.982134768732898,70.18473414071987,836.9513811594879,2807.123656417047,100.0,100.0
1,50,53.07646666666667,1.1998230876296705,15.055136666666666,0.4023646797443172,71.63500584691019,942.0370861160062,3321.125613605633,100.0,100.0
1,100,110.34841666666667,7.586190181170327,30.55009,2.3628849405568495,72.31488142482033,906.2205242334695,3273.312779111289,100.0,100.0
1,200,247.79371,46.04195534241943,66.07276666666667,10.857636983385865,73.33557552099823,807.1229895222118,3026.9657241536224,100.0,100.0
1,300,369.07505,37.11167604130808,98.62079,11.26308179316619,73.27893337682946,812.8428079871561,3041.954946822065,100.0,100.0
1,500,557.4697533333333,41.56832077663797,150.63368333333332,15.019236017212965,72.97903923349479,896.909647582315,3319.3107207872167,100.0,100.0
2,1,1.0623666666666667,0.023474804296982094,2.075206666666667,0.042402536792470115,-95.33808164161779,941.2945938313827,481.8797163977242,100.0,100.0
2,2,2.2454366666666665,0.0635817935518051,2.6394766666666665,0.06976978737164861,-17.548479805709654,890.6953510156153,757.7259633538467,100.0,100.0
2,5,5.690593333333333,0.5160654742831827,4.146183333333333,0.3063951686430712,27.139700722478853,878.6430003198261,1205.928343737815,100.0,100.0
2,10,10.548926666666667,0.19504715421614371,6.100793333333334,0.1350744212068585,42.16669120839465,947.9637422827852,1639.1310856839384,100.0,100.0
2,25,27.262563333333333,2.012406922496701,13.34736,1.1577018514995634,51.041434230505836,917.0084153250936,1873.0295728893202,100.0,100.0
2,50,55.02865,4.14619615100229,25.022986666666668,1.7934399129035246,54.52734772401891,908.617601921908,1998.1627559513279,100.0,100.0
2,100,107.30141,3.3008313452669102,47.39727,1.419760334352246,55.827915029261966,931.9542026521366,2109.82615665417,100.0,100.0
2,200,222.52794,22.77407766397032,97.34353333333334,9.660109821833553,56.25559049648626,898.7635440295721,2054.579211904506,100.0,100.0
2,300,327.29984,22.878354644971814,140.93161,8.810647511934167,56.94113079920845,916.5907322166732,2128.6920656054376,100.0,100.0
2,500,539.7385766666666,18.737239480127368,231.39433333333332,8.059159262660069,57.128442668970365,926.374399784271,2160.813503067635,100.0,100.0
4,1,1.0679333333333334,0.026891151388300675,4.037206666666667,0.11860262232762185,-278.039203445908,936.3880392034458,247.6960142408695,100.0,100.0
4,2,2.1233166666666667,0.029166940228602174,4.800893333333334,0.05699404042247015,-126.1035015973438,941.9226210566801,416.5891347999122,100.0,100.0
4,5,5.306356666666667,0.09934195100703952,7.1446266666666665,0.10768306924627871,-34.6427900624848,942.266099715624,699.8266296162898,100.0,100.0
4,10,10.888986666666668,0.2817498030881829,11.391973333333333,0.4069707122676988,-4.61922382737786,918.3591004488939,877.8110435651769,100.0,100.0
4,25,28.321786666666668,3.158628403522679,24.552793333333334,4.6960690730934065,13.307752712399502,882.7126725526732,1018.2140850776245,100.0,100.0
4,50,57.955733333333335,8.755427740721094,47.43039,8.601905002014941,18.161004490783768,862.7274149465799,1054.1764467886517,100.0,100.0
4,100,124.42258333333334,35.71242821247376,94.9519,21.88624693245226,23.685960011278773,803.7126164797253,1053.1648129210685,100.0,100.0
4,200,229.46931333333333,15.504320256441396,176.52567,18.52239270475251,23.072210643009146,871.576234289221,1132.979696380702,100.0,100.0
4,300,351.27615000000003,32.86820820419498,263.55102666666664,29.853478048905885,24.973264861088175,854.0289456030533,1138.2994928698693,100.0,100.0
4,500,552.0046600000001,38.82447272848971,410.7730633333333,15.322246531634825,25.58521818759043,905.7894547484435,1217.217107525527,100.0,100.0
6,1,1.1709866666666666,0.17422670473747173,6.432923333333333,0.7630380451866726,-449.35922982328293,853.9806886500273,155.45032144535637,100.0,100.0
6,2,2.1670966666666667,0.08678944987263948,7.139786666666667,0.2677696162791793,-229.46322960520143,922.8937641606512,280.1204144288158,100.0,100.0
6,5,5.409706666666667,0.31653793359137683,10.548153333333333,0.20169666321985344,-94.98568006151903,924.2645319031469,474.01662091879587,100.0,100.0
6,10,10.756216666666667,0.22359065288484495,16.3829,0.6279039850827183,-52.31098914891078,929.6949206118012,610.3925434446893,100.0,100.0
6,25,26.989553333333333,0.73032578216297,33.40361333333333,1.0214044640231594,-23.7649727684761,926.2843179076942,748.4220269982769,100.0,100.0
6,50,53.35891,0.9489532063424337,61.76832666666667,0.976888576194261,-15.76009829786003,937.0506256593322,809.4763562209715,100.0,100.0
6,100,109.23544666666666,8.097847583270818,123.05676,14.46198821719223,-12.65277321152835,915.4537565553355,812.6331296224604,100.0,100.0
6,200,213.06593,2.3988886358061734,235.67715,17.70838327348144,-10.612311409900213,938.6765871014666,848.6185444791741,100.0,100.0
6,300,324.919,13.49118920567969,351.12546333333336,15.628549871739116,-8.065537359567578,923.3070396006391,854.3954549807215,100.0,100.0
6,500,553.4529666666667,36.55058850472327,588.6838733333333,31.445297603045383,-6.36565504000368,903.4191342606708,849.352296961739,100.0,100.0
