batch_size,repetition,individual_valid,batch_valid,individual_ms,batch_ms,reduction_pct,individual_throughput,batch_throughput
10,18,1,1,10.2225,15.5856,-52.46368305209097,978.2342871117633,641.617903705985
10,19,1,1,10.2491,15.466,-50.90105472675649,975.695426915534,646.579593948015
10,20,1,1,10.2351,15.48,-51.244247735732934,977.0300241326418,645.9948320413437
10,21,1,1,10.2156,15.6814,-53.50444418340577,978.8950232977015,637.698164704682
10,22,1,1,10.2787,15.4628,-50.43536634010136,972.8856762041893,646.7134024885531
10,23,1,1,10.2603,15.5161,-51.22462306170384,974.6303714316344,644.4918504005517
10,24,1,1,10.3615,15.5084,-49.6733098489601,965.1112290691503,644.8118439039488
10,25,1,1,10.2848,16.0564,-56.11776602364654,972.3086496577473,622.8046137365786
10,26,1,1,10.1254,15.508,-53.159381357773505,987.615304086752,644.8284756254836
10,27,1,1,10.2703,15.5264,-51.17766764359366,973.6813919749178,644.0643033800494
10,28,1,1,10.2089,15.3599,-50.45597468875197,979.5374624102499,651.045905246779
10,29,1,1,10.0899,15.4323,-52.94799750245295,991.090100000991,647.9915501901855
10,30,1,1,10.3769,15.5714,-50.05830257591383,963.6789407241084,642.203013216538
25,1,1,1,25.9548,31.7384,-22.283354138733493,963.2129702405721,787.6893605222696
25,2,1,1,26.2282,32.8368,-25.196544177640842,953.1725394804066,761.340934561224
25,3,1,1,25.6745,34.3517,-33.79695807123801,973.7287970554441,727.7660203134052
25,4,1,1,25.7762,31.9697,-24.02797929873294,969.8869499771107,781.990447204697
25,5,1,1,25.6593,31.7988,-23.92699722907483,974.3056123900495,786.1931896801136
25,6,1,1,26.0528,32.0681,-23.088881041577103,959.5897561874347,779.5909330456122
25,7,1,1,25.844,31.7229,-22.747639684259394,967.3425166382912,788.0742302878994
25,8,1,1,25.4764,31.6928,-24.400621751895855,981.3003407074782,788.8226978998384
25,9,1,1,25.4902,31.7417,-24.52511161152129,980.76907988168,787.6074690391503
25,10,1,1,25.6917,31.6901,-23.347618102344338,973.0769081065091,788.889905680323
25,11,1,1,26.7047,32.3851,-21.271162005190106,936.1647949611867,771.9599445423976
25,12,1,1,25.8784,32.6986,-26.354797823667614,966.0566341041177,764.5587272849601
25,13,1,1,32.3765,32.6936,-0.9794140812008818,772.1649962163915,764.6756551741013
