batch_size,invalid_ratio_pct,mean_invalid_requests,latency_mean_ms,latency_sd_ms,verification_calls_mean,recursion_depth_mean,throughput_mean_auth_s,isolation_success_pct
10,0,0.0,17.958053333333332,0.3196487465881919,1.0,0.0,557.0226317350574,100.0
10,5,1.0,41.237473333333334,3.7135898500557087,7.8,3.4,244.36989630870212,100.0
10,10,1.0,42.38363,6.655716338562949,7.533333333333333,3.2666666666666666,240.40315378495606,100.0
10,20,2.0,39.43847,6.62114053442873,11.2,3.7666666666666666,261.0509095701386,100.0
10,30,3.0,34.57824333333333,6.31539449542822,13.066666666666666,3.7333333333333334,300.1776650992799,100.0
25,0,0.0,34.08479666666667,4.11394171136044,1.0,0.0,740.519618578535,100.0
25,5,1.0,68.74463333333334,3.7443963341407165,10.2,4.6,364.72575033897436,100.0
25,10,2.0,71.45228333333333,9.10001871665689,16.466666666666665,4.933333333333334,356.29032425224267,100.0
25,20,5.0,85.41316333333333,11.45807793749513,28.266666666666666,5.0,297.91468250674933,100.0
25,30,8.0,87.20382333333333,10.070292089373519,35.6,5.0,290.4572545286463,100.0
50,0,0.0,62.96390666666667,7.063333337929951,1.0,0.0,800.7836748314982,100.0
50,5,2.0,131.03348,18.75291866452278,20.533333333333335,6.0,389.12552291986515,100.0
50,10,5.0,145.80207333333334,20.125932473731385,36.46666666666667,6.0,349.5569669528286,100.0
50,20,10.0,173.38381666666666,21.069422067767135,55.93333333333333,6.0,292.06061301883943,100.0
50,30,15.0,166.37163,14.517339512604964,68.66666666666667,6.0,302.7093130155445,100.0
100,0,0.0,118.41265,3.7249675484585056,1.0,0.0,845.2536913375452,100.0
100,5,5.0,241.927,23.541827506083866,46.13333333333333,7.0,417.35290210063886,100.0
100,10,10.0,283.5158333333333,20.21526090273749,73.2,7.0,354.40003201442687,100.0
100,20,20.0,325.73133666666666,23.440465850194332,111.4,7.0,308.5040848736179,100.0
100,30,30.0,341.46953666666667,25.576800459852127,139.73333333333332,7.0,294.3254121317905,100.0
