batch_size,individual_mean_ms,individual_sd_ms,batch_mean_ms,batch_sd_ms,reduction_pct,individual_throughput,batch_throughput
1,1.0699166666666666,0.17794266818534435,5.782966666666667,0.09906268072611243,-440.50626995871954,934.6522314822026,172.92162615497236
2,2.2114,0.22544619053686893,7.3463,0.7881249887746451,-232.20132043049654,904.4044496698925,272.24589249009705
5,5.432246666666667,0.8841869753634118,10.566836666666667,1.2074826956662084,-94.52056055382856,920.42948466994,473.17850722275443
10,10.2818,0.1053550286838055,15.539713333333333,0.14375315704679179,-51.13806272572246,972.5923476434086,643.5125143878673
25,26.119376666666668,1.2931874666573056,32.54960666666667,2.197137722824282,-24.61861966333296,957.1438215792031,768.058436343624
50,51.34363,0.2511164974187517,59.13814,0.2841823062268545,-15.181065304498343,973.830638776417,845.478062042533
100,103.46458666666666,0.9730885828951651,114.52006666666666,0.631736231695461,-10.685279240149676,966.5142752869774,873.2094113346075
200,207.56499,2.871618583518169,225.76691,2.8479158921072854,-8.769263063101345,963.5536320455583,885.8694128382233
300,313.62845,7.8509846867480055,336.56174,3.704126185159766,-7.312247980054105,956.5458745850384,891.3669153243621
500,526.6291966666666,21.65679391648319,566.04237,25.61095478800443,-7.4840463807934645,949.4346366756384,883.32610154254
