r_B,batch_size,repetition,individual_valid,batch_valid,individual_ms,batch_ms,reduction_pct,individual_throughput,batch_throughput
1,2,9,1,1,2.25,1.3629,39.42666666666666,888.8888888888889,1467.4590945777386
1,2,10,1,1,2.0507,1.3416,34.57843663139416,975.276734773492,1490.7573047107933
1,2,11,1,1,2.0742,1.3526,34.789316362935104,964.2271719217048,1478.6337424220021
1,2,12,1,1,2.0488,1.3318,34.99609527528309,976.1811792268645,1501.7269860339388
1,2,13,1,1,2.0511,1.3388,34.727707084003704,975.0865389303302,1493.8751120406334
1,2,14,1,1,2.0702,1.3681,33.91459762341802,966.0902328277461,1461.881441415101
1,2,15,1,1,2.0623,1.3508,34.50031518207827,969.791010037337,1480.6040864672786
1,2,16,1,1,2.0615,1.3376,35.11520737327189,970.1673538685424,1495.2153110047848
1,2,17,1,1,2.048,1.3484,34.16015624999999,976.5625,1483.239394838327
1,2,18,1,1,2.0648,1.3385,35.17531964354901,968.6168151879117,1494.2099364960777
1,2,19,1,1,2.1459,1.4012,34.703387855911274,932.0098793047206,1427.3479874393377
1,2,20,1,1,2.1412,1.3821,35.45208294414346,934.0556697179153,1447.0732942623542
1,2,21,1,1,2.147,1.442,32.83651606893339,931.5323707498837,1386.9625520110958
1,2,22,1,1,2.1005,1.3608,35.215424898833604,952.1542489883361,1469.723691945914
1,2,23,1,1,2.139,1.3824,35.37166900420756,935.0163627863489,1446.7592592592594
1,2,24,1,1,2.1407,1.4047,34.38127715233334,934.2738356612324,1423.7915569160675
1,2,25,1,1,2.1863,1.4125,35.393129945570145,914.7875405936971,1415.929203539823
1,2,26,1,1,2.1893,1.3968,36.198784999771604,913.5340063033847,1431.84421534937
1,2,27,1,1,2.1271,1.3994,34.210897466033565,940.2472850359645,1429.1839359725595
1,2,28,1,1,2.1412,1.3765,35.71361853166449,934.0556697179153,1452.9604068289138
1,2,29,1,1,2.1248,1.395,34.34676204819277,941.2650602409639,1433.6917562724016
1,2,30,1,1,2.1504,1.4079,34.52845982142858,930.0595238095239,1420.5554371759358
1,5,1,1,1,5.3927,2.2821,57.68168079069854,927.179335026981,2190.964462556418
1,5,2,1,1,5.4871,2.196,59.978859506843314,911.2281533050245,2276.8670309653917
1,5,3,1,1,5.3295,2.2174,58.39384557650812,938.1743127873159,2254.8931180662034
1,5,4,1,1,5.1535,2.3273,54.84039972833996,970.2144173862423,2148.4123232930865
1,5,5,1,1,5.197,2.2918,55.90148162401386,962.0935154897055,2181.691247054717
1,5,6,1,1,5.1543,2.1904,57.50344372659722,970.0638302000273,2282.6880934989044
1,5,7,1,1,5.1244,2.1669,57.71407384279134,975.7239871985014,2307.4438137431353
1,5,8,1,1,5.5678,2.1621,61.16778619921693,898.0207622400229,2312.5664862864805
1,5,9,1,1,5.1788,2.1612,58.26832470842666,965.4746273267939,2313.5295206366836
1,5,10,1,1,5.081,2.1323,58.03385160401496,984.0582562487698,2344.8858040613427
1,5,11,1,1,5.1643,2.1796,57.79486087175415,968.1854268729547,2293.998898880528
1,5,12,1,1,5.146,2.3577,54.183832102603965,971.628449280995,2120.7108622810365
1,5,13,1,1,5.1431,2.1851,57.513950730104405,972.1763138962883,2288.224795203881
1,5,14,1,1,5.2411,2.2714,56.661769475873385,953.9982064833717,2201.285550761645
